MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
The Stranded,2019,"
Adventure, Drama, Mystery            ",6.3,"When a tsunami strands dozens of teens on an island at their private school, they soon realize no rescuers are coming and they must save themselves.","
Papangkorn Lerkchaleampote, 
Chutawut Phatrakampol, 
Oabnithi Wiwattanawarang, 
Chayanit Chansangavej
",Not specified,1081,40,Not specified
Cloudy with a Chance of Meatballs,2017-2018,"
Animation, Comedy, Family            ",3.3,"Prequel to the 2009 film, with inventor boy Flint Lockwood and reporter girl Sam Sparks as best friends during high school.","
Mark Robert Edwards, 
Katie Griffin, 
Sen Cullen, 
David Berni
",Not specified,699,30,Not specified
All the Queen's Men,2001,"
Action, Comedy, Drama            ",4.9,"A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war.","
Eddie Izzard, 
Matt LeBlanc, 
Udo Kier, 
James Cosmo
","
Stefan Ruzowitzky",2590,99,$0.02M
Been So Long,2018,"
Drama, Musical, Romance            ",5.5,"A dedicated single mother who, on an unusual night on the town, is charmed by a handsome yet troubled stranger.","
Michaela Coel, 
Mya Lewis, 
Arinz Kene, 
George MacKay
","
Tinge Krish",996,100,Not specified
Eungdabhara 1997,2012-2013,"
Comedy, Drama, Romance            ",8.1,This drama will focus on the extreme fan culture that emerged in the 1990s when idol groups took center stage and K-pop was blossoming.,"
Eun-ji Jung, 
Seo In-Guk, 
Hoya, 
So-yul Shin
",Not specified,1775,50,Not specified
Winter on Fire,2015,"
Documentary            ",8.4,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.","
Bishop Agapit, 
Catherine Ashton, 
Serhii Averchenko, 
Kristina Berdinskikh
","
Evgeny Afineevsky",13492,102,Not specified
Dating Around,2019,"
Reality-TV, Romance            ",6.3,"In a series of flirtations and fails, six real-life singles navigate five blind dates. Their mission: Find one perfect match worthy of a second date.","
Gurki Basra, 
Kate Burr, 
Graig Couton, 
Jonathan A. Hanna
",Not specified,1094,30,Not specified
Le manoir,2017,"
Comedy, Horror            ",4.6,"A band of students comes to celebrate the New Year in an old manor house isolated from everything. But soon after their arrival, strange events disrupt the atmosphere, before the party turns squarely to the nightmare.","
Marc Jarousseau, 
Nathalie Odzierejko, 
Ludovik, 
Jrme Niel
","
Tony T. Datis",2393,100,Not specified
Scare Tactics,2003-2013,"
Comedy, Horror, Reality-TV            ",6.7,"The show, just the latest in a string of ""reality based programming"" will feature ""Candid Camera"" like stunts inspired by scenes from Science fiction television programs and movies. The ""...                
","
Shannen Doherty, 
Lauren Ash, 
Sarah Colonna, 
Travis Draft
",Not specified,2413,Not specified,Not specified
The Woman in the House,Not specified,"
Comedy, Drama, Mystery            ",Not specified,"When a handsome neighbor moves in across the street, Anna a heartbroken, for whom, every day is the same, starts to see a light at the end of the tunnel. That is until she witnesses a gruesome murder - Or did she?","
Appy Pratt, 
Kristen Bell, 
Tom Riley, 
Rachel Ramras
",Not specified,Not specified,Not specified,Not specified
Ali's Wedding,2017,"
Comedy, Drama, Romance            ",6.9,"After telling a white lie which spirals out of control, a neurotic, naive, musically gifted Muslim cleric's eldest son must follow through with an arranged marriage, even though he's madly in love with an Australian born-Lebanese girl.","
Osamah Sami, 
Don Hany, 
Helana Sawires, 
Robert Rabiah
","
Jeffrey Walker",4644,110,Not specified
The Magician's Elephant,Not specified,"
Animation, Adventure, Comedy            ",Not specified,An orphaned boy is told by a fortune teller that an elephant will help him find his lost sister.,"
Noah Jupe, 
Natasia Demetriou, 
Cree Summer, 
Mandy Patinkin
","
Wendy Rogers",Not specified,Not specified,Not specified
Aci Kiraz,2020,"
Drama            ",5,"The Bitter Cherry is the story of people who are trying to get a hold on their lives in the shadow of a cherry tree, the story of lost lives and proliferating hopes. It talks about an old ...                
","
Erdal Besikioglu, 
Ertan Saban, 
Belim Bilgin, 
Blent Sakrak
","
Serdar Akar",229,94,Not specified
"What Happened, Miss Simone",2015,"
Documentary, Biography, Music            ",7.6,"A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""","
Nina Simone, 
Lisa Simone Kelly, 
Roger Nupie, 
Al Schackman
","
Liz Garbus",13071,101,Not specified
A Secret Love,2020,"
Documentary, Drama            ",7.9,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.","
Terry Donahue, 
Pat Henschel, 
Diana Bolan, 
Kim Donahue
","
Chris Bolan",3816,81,Not specified
The Fisherman's Diary,2020,"
Drama            ",6.5,"Ekah is determined to go to school in a village of fishermen where a girl child's education is considered a taboo. Her drive to break this old adage gets her embroiled with her father, Solomon's past.","
Kang Quintus, 
Faith Fidel, 
Cosson Chinopoh, 
Ramsey Nouah
","
Enah Johnscott",480,143,Not specified
Cabras da Peste,2021,"
Action, Comedy, Crime            ",6.2,"Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot.","
Matheus Nachtergaele, 
Edmilson Filho, 
Letcia Lima, 
Leandro Ramos
","
Vitor Brandt",1433,97,Not specified
The Confession Tapes,2017,"
Documentary, Crime            ",7.5,A critical look into some true crime cases where American law enforcement made up for lack of actual physical evidence by using devious psychological tactics during interrogation in order to extract confessions from naive suspects.,"
David Burns, 
Loretta Fisher, 
Brian Hutchinson, 
Sarah Isaacs
",Not specified,5017,46,Not specified
Any Day Now,2012,"
Drama            ",7.5,"In the 1970s, a gay couple fights a biased legal system to keep custody of the abandoned mentally handicapped teenager that comes to live under their roof.","
Alan Cumming, 
Garret Dillahunt, 
Isaac Leyva, 
Frances Fisher
","
Travis Fine",6037,98,$0.20M
Hijacked,2012,"
Action, Crime, Thriller            ",3.8,A special agent's plans to reconcile with his ex-fianc are ruined when she boards a private jet that is targeted by hijackers working for the same crime lord that he is chasing.,"
Vinnie Jones, 
Rob Steinberg, 
Craig Fairbrass, 
Gina Philips
","
Brandon Nutt",3608,86,Not specified
How to Fix a Drug Scandal,2020,"
Documentary, Crime            ",7,"In 2013, Massachusetts State Police arrest 35-year-old crime drug lab chemist Sonja Farak for tampering with evidence: and that was only the beginning. Over time, details emerged that Farak...                
","
Scott Allen, 
Karl Kenzler, 
Daniel Marx, 
Shawn Musgrave
",Not specified,2676,211,Not specified
O Escolhido,2019,"
Mystery, Thriller            ",5.8,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult.","
Renan Tenca, 
Paloma Bernardi, 
Gutto Szuster, 
Pedro Caetano
",Not specified,611,40,Not specified
Into the Beat  Dein Herz tanzt,2020,"
Drama, Music, Romance            ",5.3,A ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she pursue her family's legacy or her newfound love.,"
Alexandra Pfeifer, 
Helen Schneider, 
Anton Wichers, 
Trystan Ptter
","
Stefan Westerwelle",1063,102,Not specified
Labrador,2011,"
Drama            ",5.7,"On a desolate, windswept island, Stella and Oskar, a young couple, visit her father Nathan who lives a simple solitary life in the company of his Labrador dog. However, Stella and Nathan's relationship isn't exactly normal.","
Carsten Bjrnlund, 
Stephanie Leon, 
Jakob Eklund, 
Pepsi
","
Frederikke Aspck",231,73,Not specified
Force 2,2016,"
Action, Adventure, Thriller            ",6.2,ACP Yashvardhan teams up with RAW Agent KK to bring down the mole within RAW.,"
John Abraham, 
Sonakshi Sinha, 
Tahir Raj Bhasin, 
Adil Hussain
","
Abhinay Deo",5138,127,Not specified
Room 2806,2020,"
Documentary, Crime            ",7,This docuseries follows the 2011 sexual assault case involving french politician Dominique Strauss-Kahn at the height of his career.,"
Nafissatou Diallo, 
Raphalle Bacqu, 
lisabeth Guigou, 
Paul Browne
",Not specified,2025,197,Not specified
Smosh,2015,"
Adventure, Comedy, Fantasy            ",3.3,An embarrassing video of Anthony surfaces online right before his fifth high school reunion. The Smosh dudes then take a portal into YouTube and race to change the video and re-write history before it blows Anthony's chances of reconnecting with his teen crush Anna.,"
Ian Hecox, 
Anthony Padilla, 
Michael Ian Black, 
Jillian Nelson
","
Alex Winter",6264,84,Not specified
Rabbids Invasion,2013-2019,"
Animation, Comedy, Family            ",5,"The Rabbids from Ubisoft's ""Raving Rabbids"" video game series star in their own television series. They explore Earth and discover new things.","
Damien Laquet, 
David Gasman, 
Barbara Scaff, 
David Coburn
",Not specified,1542,Not specified,Not specified
Inside Bill's Brain,2019,"
Documentary            ",7.9,A documentary that tells Bill Gates' life story as he pursues solutions to some of the world's most complex problems.,"
Alex Bueermann, 
Davin Orness
",Not specified,9928,52,Not specified
Barbie & Chelsea the Lost Birthday,2021,"
Animation, Adventure, Family            ",6,Barbie's younger sister Chelsea is trying to celebrate her 7th birthday but her birthday is skipped due to the international date line.,"
Laila Berzins, 
Nakia Burrise, 
Greg Chun, 
Jacob Craner
","
Cassandra Mackay, 
Katie McWane",75,60,Not specified
Laibeu,2018,"
Comedy, Crime, Drama            ",8.4,"The drama revolves around the incidents that occur among the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.","
Yu-mi Jung, 
Kwang-Soo Lee, 
Sung-Woo Bae, 
Chong-ok Bae
",Not specified,994,60,Not specified
Quarantine Tales,2020,"
Drama, Thriller            ",6.5,Quarantine Tales is a collection of stories by 5 directors who tell the stories of life experienced during the pandemic.,"
Adinia Wirasti, 
Faradina Mufti, 
Marissa Anita, 
Verdi Solaiman
","
Ifa Isfansyah, 
Jason Iskandar, 
Dian Sastrowardoyo, 
Tata Sidharta, 
Aco Tenriyagelli",90,87,Not specified
Hard Breakers,2010,"
Comedy            ",2.8,A comedy centered on two single girls working the dating scene in Los Angeles.,"
Cameron Richardson, 
Sophie Monk, 
Chris Kattan, 
Tom Arnold
","
Leah Sturgis",1269,99,Not specified
Cities of Last Things,2018,"
Crime, Drama, Sci-Fi            ",6.2,"This is a story about a common man who has extraordinary events in his mundane life. The film depicts the protagonist's turns of events in three eras, three seasons, three nights, in the same city, as told with reverse chronology.","
Jack Kao, 
Hong-Chi Lee, 
Louise Grinberg, 
Ning Ding
","
Wi Ding Ho",1432,106,Not specified
1898. Los ltimos de Filipinas,2016,"
Drama, History, War            ",6.5,A soldiers trapped inside a church as last refugee. A fight that no one couldn't win. A war that no one wanted to lose.,"
Luis Tosar, 
Javier Gutirrez, 
lvaro Cervantes, 
Karra Elejalde
","
Salvador Calvo",3074,105,Not specified
How Many Kilograms are the Dumbbells You Lift,2019,"
Animation, Comedy, Sport            ",7.1,A young girl's life changes when she joins a gym to lose weight.,"
Fairouz Ai, 
Sora Amamiya, 
Stephen Fu, 
Shizuka Ishigami
",Not specified,584,Not specified,Not specified
Chaman Bahaar,2020,"
Comedy, Drama            ",7,"A small town panwalla falls for a schoolgirl who lives opposite his shop. He experiences love, jealousy and betrayal without meeting her even once.","
Jitendra Kumar, 
Ritika Badiani, 
Bhuvan Arora, 
Dherendra Kumar Tiwari
","
Apurva Dhar Badgaiyann",6027,111,Not specified
X,2015,"
Drama, Mystery, Romance            ",5.2,A filmmaker with a mid-life crisis meets a mysterious young girl who reminds of every woman in his past.,"
Rajat Kapoor, 
Radhika Apte, 
Bidita Bag, 
Piaa Bajpai
","
Hemant Gaba, 
Pratim D. Gupta, 
Sudhish Kamath, 
Nalan Kumarasamy, 
Anu Menon, 
Sandeep Mohan, 
Qaushiq Mukherjee, 
Rajshree Ojha, 
Raja Sen, 
Abhinav Shiv Tiwari, 
Suparn Varma",658,105,Not specified
Lured,1947,"
Crime, Film-Noir, Mystery            ",7,British police are after a serial killer who lures his female victims through newspaper personal ads and sends cryptic-poem clues to the cops.,"
George Sanders, 
Lucille Ball, 
Charles Coburn, 
Boris Karloff
","
Douglas Sirk",3337,102,Not specified
"Boo, Bitch",Not specified,"
Comedy            ",Not specified,"A high school senior who's lived her life safely under the radar seizes the opportunity to change her narrative and start living an epic life, only to find out the next morning that she's a ghost.","
Lana Condor
",Not specified,Not specified,Not specified,Not specified
Human Resources,Not specified,"
Animation, Comedy, Romance            ",Not specified,A workplace comedy set in the world of the monsters from Big Mouth.,"
Aidy Bryant, 
Brandon Kyle Goodman, 
Nick Kroll, 
Keke Palmer
",Not specified,Not specified,Not specified,Not specified
Johan Falk,2012,"
Action, Crime, Thriller            ",7.5,"Frank Wagner is sleeping next to his family. Their plans to move abroad lay on the kitchen table, when they suddenly hear someone trying to break into the apartment and five masked men are trying to enter.","
Jakob Eklund, 
Joel Kinnaman, 
Ruth Vega Fernandez, 
Mikael Tornving
","
Charlotte Brndstrm",3033,106,Not specified
Rock My Heart,2017,"
Drama            ",6.5,"17-year-old Jana has a congenital heart defect. To defy fate, Jana seeks every challenge, plunges into every wild and dangerous adventure. Her parents do not like that and are even more in constant fear of their daughter.","
Emilio Sakraya, 
Lena Klenke, 
Dieter Hallervorden, 
Milan Peschel
","
Hanno Olderdissen",864,105,Not specified
Let's Eat,2013,"
Comedy, Romance            ",7.7,"Four single people: happily divorced paralegal Lee Soo-kyung (Lee Soo-kyung), mysterious gourmand Goo Dae-young (Yoon Doo-joon), design student and former rich girl Yoon Jin-yi (Yoon So-hee...                
","
Doo-Joon Yoon, 
Kim Hee-won, 
Jee-Young Kim, 
Hyeon-jin Seo
",Not specified,540,50,Not specified
Go Go Cory Carson,2020,"
Animation, Family            ",8.1,"Based on the Go. Go. toy line from VTech, children's series follows the adventures of Cory Carson.","
Alan C. Lim, 
Paul Killam, 
Maisie Benson, 
Kerry Gudjohnsen
",Not specified,187,Not specified,Not specified
El incidente,2014,"
Horror, Sci-Fi, Thriller            ",6.3,"Two parallel stories about characters trapped in illogical endless spaces: two brothers and a detective locked on an infinite staircase, and a family locked on an infinite road - for a very long time.","
Ral Mndez, 
Magda Brugengheim, 
Humberto Busto, 
Erick Trinidad Camacho
","
Isaac Ezban",3417,100,Not specified
Trollhunters,2017,"
Animation, Short            ",7.5,"What's better than a birthday? How about a chorus of trolls and humans wishing you the happiest, most epic celebration in history.",Not specified,Not specified,24,1,Not specified
Five Minarets in New York,2010,"
Action            ",5.8,"Two Turkish anti-terrorist agents are sent to New York City on a mission to find and bring back the dangerous Islamic leader codenamed ""Dajjal"", believed to be hiding in there. Working with...                
","
Haluk Bilginer, 
Danny Glover, 
Gina Gershon, 
Mahsun Kirmizigl
","
Mahsun Kirmizigl",14788,119,Not specified
Prince of Peoria,2018-2019,"
Comedy, Family            ",5.9,"Story of a wealthy prince who travels to the US to live as an exchange student. While living in anonymity, the prince strikes up an unlikely friendship.","
Gavin Lewis, 
Theodore Barnes, 
Cynthia Kaye McWilliams, 
Shelby Simmons
",Not specified,392,25,Not specified
Himlen r oskyldigt bl,2010,"
Drama            ",6.6,"Coming of age film that takes place in the Swedish archipelago during 70s about young Martin (Bill Skarsgrd) who gets a summer job working at a hotel. The hotel manager Gsta (Peter Dalle)...                
","
Bill Skarsgrd, 
Peter Dalle, 
Josefin Ljungman, 
Amanda Ooms
","
Hannes Holm",3484,110,Not specified
Alles ist gut,2018,"
Drama            ",6.5,"Janne's new boss's brother-in-law rapes her, but she doesn't report the incident and continues her way of life as usual. But her silence has consequences, not only for her but also for the love that she feels for her friend Piet.","
Aenne Schwarz, 
Andreas Dhler, 
Hans Lw, 
Tilo Nest
","
Eva Trobisch",1293,90,Not specified
Half Bad,Not specified,"
Adventure, Drama, Fantasy            ",Not specified,"Sixteen-year-old Nathan is the illegitimate son of the world's most feared witch. He's spent his whole life being monitored for signs he may follow the same destructive path as his father. ...                
","
Alfredo Tavares
",Not specified,Not specified,60,Not specified
Pyaar Ka Punchnama 2,2015,"
Comedy, Drama, Romance            ",7.2,"After falling in love, three roommates experience changes in their lives.","
Kartik Aaryan, 
Omkar Kapoor, 
Sunny Singh Nijjar, 
Nushrat Bharucha
","
Luv Ranjan",14399,137,$0.22M
Nachthelle,2014,"
Drama, Mystery            ",5.1,"Two couples visit a home from their past, and sexual tension brings out the worst in each other. Long-buried grudges resurface.","
Anna Grisebach, 
Vladimir Burlakov, 
Benno Frmann, 
Kai Ivo Baulitz
","
Florian Gottschick",1199,86,Not specified
Hayop Ka,2020,"
Animation, Comedy, Romance            ",7.1,"In this adult animation, perfume sales cat Nimfa is torn between her macho askal boyfriend and a charming, philandering business dog.","
Angelica Panganiban, 
Robin Padilla, 
Sam Milby, 
Empoy Marquez
","
Avid Liongoren",181,73,Not specified
F.R.E.D.I.,2018,"
Adventure, Family, Sci-Fi            ",5.1,James needs a topic for his science project at high school or he'll fail his class. He finds an AI robot in the woods near home.,"
Kelly Hu, 
Angus Macfadyen, 
Candace Cameron Bure, 
Lucius Hoyos
","
Sean Olson",902,89,Not specified
Oorlogswinter,2008,"
Drama, History, War            ",7,"In the Nazi-occupied Netherlands, a teenage boy gets involved in the Dutch Resistance after coming to the aid of a wounded RAF pilot.","
Martijn Lakemeier, 
Jamie Campbell Bower, 
Yorick van Wageningen, 
Raymond Thiry
","
Martin Koolhoven",12479,103,$0.54M
Rieol,2017,"
Action            ",5,A criminal aspiring to build a casino finds himself in endless threat when a man starts imitating every single thing he does.,"
Kim Soo-hyun, 
Dong-il Sung, 
Lee Sung-min, 
Sulli Choi
","
Love Lee",1115,137,Not specified
Sidonia no Kishi,2014-2015,"
Animation, Action, Adventure            ",7.8,"A thousand years after the destruction of Earth by gigantic aliens called Gauna, mankind is living on massive spaceships. One of these space ships is Sidonia, which is protected by large pilot controlled exosuits called Gardes.","
Pete Sepenuk, 
Ryta saka, 
Takahiro Sakurai, 
Aya Suzaki
",Not specified,4192,Not specified,Not specified
M'entendstu,2018,"
Comedy, Drama            ",7.7,"M'entends-tu?' is a dramatic comedy that plunges us into the unusual daily life of Ada, Fabiola and Carolanne, three long-time friends from the midst of poverty.","
ve Landry, 
Florence Longpr, 
Mlissa Bdard, 
Mehdi Bousaidan
",Not specified,552,30,Not specified
"1,000,000 yen no Onnatachi",2017,"
Comedy, Drama, Mystery            ",7.5,"A frustrated writer has 5 mysterious women turn up at his house, all seemingly invited and all must adhere to strict rules, they all pay him a million yen as rent. Who is responsible for the invites?","
Yjir Noda, 
Rila Fukushima, 
Rena Matsui, 
Miwako Wagatsuma
",Not specified,1636,30,Not specified
El Hijo,2019,"
Drama, Mystery, Thriller            ",5.5,"Lorenzo, a 50 y.o. painter, is having a child with his new wife, Sigrid. She gets stranger and stranger - or he does. He claims, the baby's been switched.","
Joaqun Furriel, 
Martina Gusman, 
Luciano Cceres, 
Heidi Toini
","
Sebastin Schindel",3270,92,Not specified
Single All the Way,2021,"
Comedy, Drama, Romance            ",Not specified,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.","
Michael Urie, 
Philemon Chambers, 
Kathy Najimy, 
Luke Macfarlane
","
Michael Mayer",Not specified,Not specified,Not specified
BRZRKR,Not specified,"
Action, Adventure, Drama            ",Not specified,"The comic follows an immortal warrior, known as Berzerker, as he fights his way through the ages.","
Keanu Reeves
",Not specified,Not specified,Not specified,Not specified
Kaze ga tsuyoku fuiteiru,2018,"
Animation, Comedy, Sport            ",8.4,"Kakeru, a former elite runner at high school, is chased for stealing food. He is saved by a Kansei University student Haiji, who is also a runner. Haiji persuades Kakeru to live in the old ...                
","
Mike Haimoto, 
Kelly Greenshield, 
James Belcher, 
Scott Gibbs
",Not specified,916,23,Not specified
Les de l'hoquei,2019-2020,"
Drama, Sport            ",6.9,"Seven young roller hockey players and their new coach will fight to save the female section of Club Pati Minerva, while trying to find their place, both inside and outside the team.","
Iria del Ro, 
Nora Navas, 
Natlia Barrientos, 
Dlia Brufau
",Not specified,381,50,Not specified
John Henry and the Statesmen,Not specified,"
Adventure, Drama, Family            ",Not specified,The story of John Henry and other American folk legends.,"
Dwayne Johnson
","
Jake Kasdan",Not specified,Not specified,Not specified
Rurni Kenshin,2001,"
Animation, Adventure, Drama            ",8.2,"Kenshin and Kaoru are married. Kenshin leaves Kaoru with their son, Kenji, to lead a revolution in China. But both of them suffer from a seemingly incurable disease. 15 years later, Kenshin...                
","
Mayo Suzukaze, 
Miki Fujitani, 
Mna Tominaga, 
Yji Ueda
",Not specified,4043,83,Not specified
The Boulet Brothers' DRAGULA,2016,"
Game-Show, Horror, Reality-TV            ",7.9,"The Boulet Brothers host a reality series to reveal the World's next Dragula Supermonster. Each drag artist vies for the title and crown through a series of challenges to unveil their best drag, filth, horror and glamour.","
The Boulet Brothers, 
Abhora, 
Antonio Yee, 
Disasterina
",Not specified,813,48,Not specified
Kono Oto Tomare,2019,"
Animation, Drama, Music            ",8,"Since the graduation of the senior members of the club, Takezou ends up being the sole member of the ""Koto"" (traditional Japanese string instrument) club. Now that the new school year has ...                
","
Amber Lee Connors, 
Daman Mills, 
Alejandro Saab, 
Anthony Bowling
",Not specified,538,23,Not specified
Pretty Smart,Not specified,"
Comedy            ",Not specified,"A self-proclaimed intellectual, forced to move in with her carefree sister and her sister's lovably eccentric friends.","
Cinthya Carmona, 
Olivia Macklin, 
Emily Osment, 
Michael Hsu Rosen
",Not specified,Not specified,Not specified,Not specified
Strange Weather,2016,"
Drama            ",6,"in an effort to deal with the grief over the death of her son, a Georgia mother travels the back roads of the deep south to settle a score. A story of grief and forgiveness, of looking inward to find a way to move forward.","
Holly Hunter, 
Carrie Coon, 
Kim Coates, 
Choppy Guillotte
","
Katherine Dieckmann",1353,92,Not specified
Heart of Stone,Not specified,"
Action, Crime, Thriller            ",Not specified,Plot kept under wraps. Described as a spy thriller.,"
Gal Gadot
","
Tom Harper",Not specified,Not specified,Not specified
The Homeless World Cup,Not specified,"
Drama, Sport            ",Not specified,"Advocates to end homelessness, organize an annual tournament for Homeless men to compete is a series of football matches known as The Homeless World Cup.","
Bill Nighy, 
Valeria Golino, 
Kit Young, 
Micheal Ward
","
Thea Sharrock",Not specified,Not specified,Not specified
Sword Gai,2018,"
Animation, Action, Fantasy            ",5.9,A boy bonds with a demon sword.,"
Zach Aguilar, 
Khoi Dao, 
Richard Epcar, 
Jessica Gee-George
",Not specified,850,22,Not specified
Rising Phoenix,2020,"
Documentary, Sport            ",8.1,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.","
Jean-Baptiste Alaize, 
Ryley Batt, 
Ellie Cole, 
Philip Craven
","
Ian Bonhte, 
Peter Ettedgui",1405,105,Not specified
Ava's Possessions,2015,"
Comedy, Horror, Mystery            ",5.7,A young woman recovers from a demonic possession.,"
Louisa Krause, 
Whitney Able, 
Deborah Rush, 
William Sadler
","
Jordan Galland",2990,89,Not specified
Chopsticks,2019,"
Comedy, Drama            ",6.5,A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.,"
Abhay Deol, 
Mithila Palkar, 
Vijay Raaz, 
Achint Kaur
","
Sachin Yardi",4382,100,Not specified
The House Next Door,2017,"
Horror            ",6.8,"A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours.","
Prakash Belawadi, 
Khushi Hajare, 
Andrea Jeremiah, 
Atul Kulkarni
","
Milind Rau",2207,137,Not specified
Take the 10,2017,"
Comedy            ",4.8,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.","
Josh Peck, 
Tony Revolori, 
Kevin Corrigan, 
Chester Tam
","
Chester Tam",2926,80,Not specified
Ariana Grande,2020,"
Documentary, Music            ",6.4,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,"
Ariana Grande, 
Rim Taya Shawki
","
Story Syndicate, 
Paul Dugdale",2141,97,Not specified
Home,2016-2018,"
Animation, Short, Adventure            ",6,"Picking up where the 2015 film left off, this coming-of-age buddy comedy follows fearless Tip and overenthusiastic Oh, as they navigate the crazily combined human and alien culture they live in, finding adventure everywhere they go.","
Rachel Crow, 
Mark Whitten, 
Ana Ortiz, 
Ron Funches
",Not specified,543,23,Not specified
Afterlife of the Party,2021,"
Comedy            ",Not specified,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,"
Victoria Justice, 
Adam Garcia, 
Midori Francis, 
Spencer Sutherland
","
Stephen Herek",Not specified,109,Not specified
Kamitachi ni Hirowareta Otoko,2020,"
Animation, Adventure, Fantasy            ",7,Ryoma didn't have good luck in his former life. But three deities decide to give him a second chance in a fantasy world of magic.,"
Azusa Tadokoro, 
Daisuke Ono, 
Yuuki Kuwahara, 
Marika Kno
",Not specified,448,23,Not specified
Gaya sa pelikula,2020,"
Romance            ",8.6,"Karl, an architecture student moves into his uncle's unit, takes on odd jobs online and left short on funds. His neighbor Vlad hiding from his family proposes that they become housemates for the semestral break in exchange for rent.","
Ian Pangilinan, 
Paolo Pangilinan, 
Adrienne Vergara, 
Yesh Burce
",Not specified,581,Not specified,Not specified
Hangman,2015,"
Horror, Thriller            ",4.7,"Returning from vacation, the Miller family find their home has been broken into. After cleaning up the mess they continue with their lives, shaking off the feeling of being violated. But little do they know the nightmare has just begun.","
Jeremy Sisto, 
Kate Ashfield, 
Ryan Simpkins, 
Ty Simpkins
","
Adam Mason",2210,85,Not specified
Samurai Rabbit,Not specified,"
Animation, Action, Adventure            ",Not specified,"Teenage Rabbit Samurai Yuichi, a descendant of the great warrior Miyamoto Usagi, embarks on an epic quest to become a true samurai.","
Darren Barnet, 
Aleks Le, 
Mallory Low, 
Shelby Rabara
",Not specified,Not specified,Not specified,Not specified
Sugar Rush,2018,"
Game-Show            ",7,"A baking competition with 4 teams, 3 rounds, 2 cakes and 1 winner of $10,000.","
Hunter March, 
Candace Nelson, 
Adriano Zumbo, 
Richard Blais
",Not specified,1299,Not specified,Not specified
Pai em Dobro,2021,"
Comedy, Drama, Family            ",5.6,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.","
Bill Rogers, 
Maisa Silva, 
Eduardo Moscovis, 
Roberto Bonfim
","
Cris D'Amato",1078,103,Not specified
Chip and Potato,2018,"
Animation            ",6.2,"Chip, a 4-year-old pug puppy, takes her first steps towards independence at kindergarten with secret friend Potato-a teensy tiny mouse-at her side.","
Abigail Oliver, 
Andrea Libman, 
Briana Buckmaster, 
Brian Dobson
",Not specified,117,23,Not specified
Paskal,2018,"
Action, Drama            ",6.8,A story of true piracy based on an elite unit of the Royal Malaysian Navy's mission.,"
Adi Afendi, 
Amerul Affendi, 
Ammar Alfian, 
Hairul Azreen
","
Adrian Teh",2853,115,Not specified
Drug Lords,2018,"
Documentary            ",6.8,Documentary series examining drug cartels and kingpins from around the world.,"
Quinn Dalton, 
Jordan Lawson, 
Maximo Pain, 
Winter Dunn
",Not specified,1153,42,Not specified
Conspiracy of Silence,2018,"
Crime, Drama, Thriller            ",6.5,"Robert Kastell returns to Sweden, presumed dead for the last 30 years. He now shares the same objective as former journalist Rolf Hglund - to take down illegal arms dealer Anders Spetz.","
Jens Hultn, 
Vera Vitali, 
Halina Reijn, 
Henrik Mestad
",Not specified,491,45,Not specified
Lego Jurassic World,2019,"
Animation, Adventure, Comedy            ",6.8,"Set in 2012, three years before the events of the Jurassic World movie, LEGO Jurassic World: Legend of Isla Nublar picks up where the story left off from LEGO Jurassic World: The Secret ...                
","
Ian Hanlin, 
Dhirendra, 
Britt McKillip, 
Adrian Petriw
",Not specified,203,Not specified,Not specified
Under Suspicion,2021,"
Documentary, Crime            ",6.3,"This docuseries examines the story of Belgian politician Bernard Wesphael, who was accused of murdering his wife, Vronique Pirotton, in 2013. She had been found dead in a hotel room in Ostend.","
Nadine Pirotton, 
Bernard Sohet, 
Bernard Wesphael, 
Luc Gochel
",Not specified,534,180,Not specified
